Date,Open,High,Low,Close,Volume
2015-09-01,40000,40000,38500,38500,11710
2015-09-03,38500,40000,38500,39900,24400
2015-09-04,39900,39900,38500,38500,3010
2015-09-07,38500,40000,38500,38700,12750
2015-09-08,39000,39300,38800,39000,6870
2015-09-09,39500,40000,38000,40000,24690
2015-09-10,39500,39500,38600,38600,4660
2015-09-11,38700,38700,38400,38400,10430
2015-09-14,38400,38800,36500,36700,11330
2015-09-15,34500,37000,34500,35300,5950
2015-09-16,35000,36800,35000,35200,2600
2015-09-17,35200,35200,35000,35000,17310
2015-09-18,35000,35300,35000,35000,3940
2015-09-21,35000,35900,34800,34800,9360
2015-09-22,34800,35400,34000,34800,10100
2015-09-23,35400,35400,34800,34900,13870
2015-09-24,34500,35000,34000,34500,21410
2015-09-25,34500,34500,33500,33500,5640
2015-09-28,33500,34500,32500,32500,16500
2015-09-29,30300,30900,30300,30300,256460
2015-09-30,30000,32300,30000,32300,2250
2015-10-01,32200,32400,31100,32400,39280
2015-10-02,32400,32400,31500,31500,10390
2015-10-05,32000,32200,31000,31900,49160
2015-10-06,31100,34000,31000,31500,23980
2015-10-07,31000,32000,30000,32000,2510
2015-10-08,32000,32500,32000,32500,3070
2015-10-09,32000,32500,31900,32500,12730
2015-10-12,32200,33500,32100,33500,3980
2015-10-13,33500,33500,32500,32500,250
2015-10-14,32500,32600,32000,32000,18210
2015-10-15,31600,31600,31600,31600,30
2015-10-16,31700,33800,31700,33800,2680
2015-10-19,33800,34800,32000,34800,0
2015-10-20,32000,34100,32000,32500,5090
2015-10-21,32500,33600,32500,33600,1030
2015-10-22,33600,33600,33600,33600,1000
2015-10-23,33000,33600,32700,33500,2610
2015-10-26,33000,33000,32700,32700,5220
2015-10-27,32700,33000,32700,32800,14060
2015-10-28,33000,33000,33000,33000,130
2015-10-29,32900,32900,32700,32700,2820
2015-10-30,32800,33000,32800,32800,8470
2015-11-02,32800,32900,32600,32800,17810
2015-11-03,33000,33000,32000,32000,7010
2015-11-04,33300,33300,32200,32200,110
2015-11-05,31100,33000,31100,32400,4610
2015-11-06,32700,32800,32400,32800,15610
2015-11-09,31700,32800,31700,32800,3580
2015-11-10,31600,32800,31600,32800,6630
2015-11-11,32800,33800,32800,33000,23440
2015-11-12,33100,33100,33000,33000,11010
2015-11-13,32900,33300,32800,32900,11040
2015-11-16,33000,33000,32800,33000,730
2015-11-17,33000,33400,32700,32900,27380
2015-11-18,32900,32900,32700,32700,5600
2015-11-19,32800,32900,32800,32900,13430
2015-11-20,32800,32900,32600,32700,12230
2015-11-23,32500,32700,32000,32000,1440
2015-11-24,32000,32500,32000,32100,55750
2015-11-25,32400,32400,32000,32100,63770
2015-11-26,31900,32200,31800,31800,9050
2015-11-27,31800,31800,31700,31800,14690
2015-11-30,31800,31800,31400,31400,21670
2015-12-01,31500,31500,30800,31000,45450
2015-12-02,31000,31100,31000,31100,7460
2015-12-03,31100,32300,31100,32300,31470
2015-12-04,32400,32600,31600,32100,26860
2015-12-07,32100,32100,31700,32000,5080
2015-12-08,31500,32000,31400,32000,23100
2015-12-09,32000,32200,32000,32200,31800
2015-12-10,31100,32400,31100,32000,24110
2015-12-11,31900,32000,31500,32000,5690
2015-12-14,32200,32200,31400,31400,10000
2015-12-15,31600,31700,31400,31700,60730
2015-12-16,31500,32200,31500,31800,57660
2015-12-17,32000,32000,31800,32000,2110
2015-12-18,32900,32900,32000,32000,10330
2015-12-21,32500,32500,32000,32100,9080
2015-12-22,32100,32100,31700,32100,9040
2015-12-23,32100,32100,31900,32000,15270
2015-12-24,32200,34200,31800,34200,60000
2015-12-25,34200,34800,34000,34700,34680
2015-12-28,34700,35000,34600,34700,15340
2015-12-29,34700,35500,34700,35300,65370
2015-12-30,32900,35400,32900,35300,24400
2015-12-31,35000,36000,34300,35200,16570
2016-01-04,34500,36000,34500,36000,31730
2016-01-05,35000,36400,35000,36000,28370
2016-01-06,36000,36500,35900,36400,12420
2016-01-07,36900,36900,36500,36500,2670
2016-01-08,36500,39000,36500,39000,87130
2016-01-11,38000,38500,37500,38400,7960
2016-01-12,38100,38900,37600,38900,10270
2016-01-13,38500,39200,38500,38800,38470
2016-01-14,38700,39500,38500,38800,21470
2016-01-15,38500,41500,38500,39500,15230
2016-01-18,39000,41000,38500,41000,20880
2016-01-19,39800,39900,38700,39800,5850
2016-01-20,39000,40500,38600,40400,38110
2016-01-21,39500,40500,39500,40000,40490
2016-01-22,40000,40000,39100,39900,970
2016-01-25,39900,41000,39700,40500,48960
2016-01-26,40500,41400,39500,40300,32210
2016-01-27,40000,41800,40000,41800,22790
2016-01-28,41600,43500,41200,43000,50440
2016-01-29,43000,44500,43000,44000,10140
2016-02-01,44000,44000,42500,43300,37410
2016-02-02,44500,44500,42500,43300,10550
2016-02-03,42400,43500,42400,43300,7200
2016-02-04,43300,43500,40400,40900,24720
2016-02-05,42800,42800,40500,41000,11200
2016-02-15,41000,43000,40600,42800,15500
2016-02-16,41500,43500,41500,43400,22610
2016-02-17,43000,44000,42800,43300,6020
2016-02-18,43300,43500,42600,43300,8770
2016-02-19,40400,43400,40400,42900,36110
2016-02-22,42900,43000,42600,43000,4460
2016-02-23,42900,43000,42200,42300,2120
2016-02-24,42500,42900,42500,42900,14230
2016-02-25,42800,42900,41900,42800,13920
2016-02-26,42800,42900,42100,42900,29760
2016-02-29,40100,42900,40100,42200,22350
2016-03-01,42500,42500,41700,42000,23180
2016-03-02,41400,42400,41400,42000,4490
2016-03-03,41600,42000,40500,40500,2050
2016-03-04,42300,42300,38500,41700,20230
2016-03-07,41700,41700,38800,41500,13910
2016-03-08,41000,41500,39900,41000,41230
2016-03-09,40700,40700,40100,40700,92780
2016-03-10,40600,42500,40100,41500,46790
2016-03-11,40500,42000,40500,41500,20900
2016-03-14,42000,42800,41600,42800,19940
2016-03-15,43000,43500,42700,43300,28740
2016-03-16,43500,44500,43500,44000,31180
2016-03-17,43500,45500,43500,44500,26400
2016-03-18,43500,45000,43500,44900,10240
2016-03-21,45000,45300,44000,44500,63520
2016-03-22,44500,45300,44000,45000,7170
2016-03-23,45000,45500,44500,44500,18500
2016-03-24,44400,45000,44400,44600,19660
2016-03-25,44700,45000,44600,44700,17960
2016-03-28,46900,46900,45000,45000,10730
2016-03-29,46900,46900,44800,45600,9810
2016-03-30,46000,46000,45000,45900,10000
2016-03-31,45900,45900,44500,45200,49250
2016-04-01,45200,45500,45000,45000,127280
2016-04-04,44500,45900,44500,45000,6180
2016-04-05,45000,45400,44500,45300,19580
2016-04-06,45300,45300,44600,44700,5080
2016-04-07,44900,45300,44500,45000,18790
2016-04-08,45000,46000,44900,45100,20440
2016-04-11,47000,47000,45100,45200,10100
2016-04-12,45200,45600,45000,45300,10990
2016-04-13,45400,46400,45000,45900,29860
2016-04-14,45600,47000,45600,46600,27880
2016-04-15,46800,48500,46800,48000,58880
2016-04-19,48000,51000,48000,50500,19000
2016-04-20,50000,51000,49800,50500,15360
2016-04-21,50000,50000,48400,48400,18370
2016-04-22,47600,49600,47600,48900,10330
2016-04-25,49000,49300,48500,48500,24060
2016-04-26,48500,49000,47100,48300,10410
2016-04-27,48300,48500,47800,48000,8450
2016-04-28,48000,50000,48000,49600,20660
2016-04-29,50000,50000,49400,49700,13880
2016-05-04,49800,49800,48500,49000,23220
2016-05-05,49000,49900,48100,49000,25300
2016-05-06,48800,49500,48500,49200,76730
2016-05-09,49900,49900,48800,49600,42330
2016-05-10,49600,49600,49100,49600,28910
2016-05-11,49600,49600,49100,49500,16040
2016-05-12,49600,49600,49000,49400,19400
2016-05-13,49400,49400,48500,48500,26970
2016-05-16,49000,49000,48000,48000,32740
2016-05-17,47500,48200,47500,48000,15300
2016-05-18,48400,48400,47000,48000,3280
2016-05-19,48500,49000,47100,48000,47620
2016-05-20,48000,48000,47400,48000,11950
2016-05-23,47200,48100,47200,48100,10090
2016-05-24,48100,48200,48000,48000,17860
2016-05-25,48000,49500,47500,49500,97080
2016-05-26,50500,52500,50500,52500,160230
2016-05-27,54000,54000,52000,52000,30080
2016-05-30,52000,52000,50500,51500,24380
2016-05-31,50500,51500,50500,51000,25800
2016-06-01,51000,52500,51000,52000,68620
2016-06-02,52000,53500,51500,51500,60440
2016-06-03,51500,51500,51500,51500,47340
2016-06-06,51500,53500,51500,52500,84740
2016-06-07,52500,56000,52500,56000,214730
2016-06-08,56000,56000,52500,55000,66260
2016-06-09,55500,58000,55000,57000,116180
2016-06-10,57500,58500,57500,57500,51360
2016-06-13,57500,58000,56500,57000,66980
2016-06-14,57000,58000,57000,57500,26410
2016-06-15,57500,58000,57000,57500,60810
2016-06-16,59000,59000,57000,58000,51350
2016-06-17,58000,58000,57000,57000,16770
2016-06-20,56500,58000,56500,58000,19960
2016-06-21,58500,60000,58000,60000,132670
2016-06-22,60000,61000,59500,59500,91000
2016-06-23,59500,60000,59500,59500,37270
2016-06-24,59000,60000,58500,60000,46050
2016-06-27,60000,60000,59500,60000,29060
2016-06-28,59000,61000,59000,60000,43670
2016-06-29,60000,61000,59500,60500,52520
2016-06-30,38470,38470,37840,38470,21525
2016-07-01,38470,38786,38155,38470,39270
2016-07-04,38470,38470,37840,38470,9000
2016-07-05,38155,38470,38155,38155,60855
2016-07-06,37840,38155,37524,37840,30150
2016-07-07,37840,38155,37524,38155,58245
2016-07-08,38155,38155,37524,37840,33765
2016-07-11,37840,40362,37840,40362,425460
2016-07-12,40362,41624,40362,40993,90765
2016-07-13,41313,41634,40993,41313,26385
2016-07-14,40993,41313,40673,40993,47190
2016-07-15,40673,43555,40673,42594,152655
2016-07-18,42594,44196,42594,43555,188505
2016-07-19,43555,43555,42594,43235,178425
2016-07-20,43235,43876,42915,42915,218220
2016-07-21,43235,43235,42274,42274,71265
2016-07-22,41954,43555,41954,42274,94845
2016-07-25,42274,42915,41634,41954,197670
2016-07-26,41313,41954,41313,41634,128955
2016-07-27,41634,42915,41313,42915,126480
2016-07-28,42915,43235,41954,41954,112635
2016-07-29,41634,42274,41634,42274,49080
2016-08-01,42274,44836,41954,44516,382455
2016-08-02,45156,47398,45156,45477,214335
2016-08-03,45477,46758,45477,46438,64215
2016-08-04,46438,48359,45477,47398,286485
2016-08-05,47078,47078,44196,46758,579765
2016-08-08,46117,48039,44836,48039,162300
2016-08-09,48039,50921,47398,49320,316515
2016-08-10,49320,51241,49320,50601,332565
2016-08-11,50921,50921,49000,49320,226155
2016-08-12,47398,50281,47398,48039,424635
2016-08-15,48039,49320,47719,49000,374745
2016-08-16,49320,49960,49000,49000,182805
2016-08-17,49000,49960,48359,49640,340500
2016-08-18,50281,52843,50281,52522,829275
2016-08-19,52202,54444,51562,51882,386235
2016-08-22,51882,52522,49640,50281,276000
2016-08-23,50281,50601,48679,49640,340620
2016-08-24,49640,50921,49320,49320,319155
2016-08-25,49640,49640,46117,46438,449250
2016-08-26,44516,46438,44196,44836,391935
2016-08-29,44196,45797,43876,45797,180765
2016-08-30,45797,46758,45477,45477,183420
2016-08-31,44836,46438,44836,45797,121050
2016-09-01,44836,45477,43876,44836,85170
2016-09-05,45156,45156,43555,43876,145935
2016-09-06,43876,44196,42594,42915,173010
2016-09-07,42274,42915,40032,40353,391350
2016-09-08,40353,42594,40032,42274,212625
2016-09-09,42915,43235,41634,41634,89580
2016-09-12,41634,41954,40993,40993,106560
2016-09-13,40993,40993,39712,40353,154290
2016-09-14,40032,41313,39712,40993,122460
2016-09-15,40993,40993,40032,40673,45015
2016-09-16,40993,40993,40353,40353,65850
2016-09-19,40032,40353,39712,40032,53775
2016-09-20,40353,41954,40032,41954,188970
2016-09-21,41954,41954,41313,41954,83445
2016-09-22,41954,44836,41954,44836,204465
2016-09-23,44836,45156,43876,44836,277755
2016-09-26,44836,44836,43555,44196,156855
2016-09-27,43555,45797,43555,44836,178770
2016-09-28,45156,46758,44516,46438,324870
2016-09-29,46438,48039,46117,47719,333225
2016-09-30,47719,47719,46758,47078,163755
2016-10-03,47078,47078,45477,46117,241035
2016-10-04,46117,46117,44836,44836,241710
2016-10-05,44836,45477,44516,45477,268680
2016-10-06,44836,45477,43555,43555,368865
2016-10-07,43555,44196,42594,42915,226740
2016-10-10,42915,44516,42915,43876,130605
2016-10-11,44196,44196,42594,42594,173940
2016-10-12,42594,43555,42594,42915,71730
2016-10-13,43235,45156,42915,45156,261585
2016-10-14,45156,45156,44196,44516,84540
2016-10-17,44836,45156,44516,45156,111375
2016-10-18,45156,47078,45156,46758,374865
2016-10-19,47078,47078,45797,46438,260115
2016-10-20,46438,47398,46438,47078,165615
2016-10-21,47078,47078,46117,46438,210105
2016-10-24,46117,46438,43555,45028,127995
2016-10-25,44964,45477,44068,44836,156585
2016-10-26,44516,44836,43940,43940,161745
2016-10-27,44452,45477,44004,45028,176490
2016-10-28,44836,45028,44196,44900,121500
2016-10-31,44836,46374,44836,45733,195210
2016-11-01,46245,46886,46053,46117,218850
2016-11-02,46117,46886,46117,46438,165315
2016-11-03,47078,48615,47078,48039,453840
2016-11-04,47719,48423,47654,48039,286155
2016-11-07,49000,49640,48039,49064,372450
2016-11-08,49064,49512,49064,49256,165060
2016-11-09,49320,49320,48423,48679,359610
2016-11-10,48679,49064,48359,48743,343470
2016-11-11,48679,48808,48039,48039,203295
2016-11-14,48039,48039,47526,47719,219510
2016-11-15,47719,48936,47719,48039,181500
2016-11-16,48167,48872,48167,48679,412155
2016-11-17,48679,49832,48679,49000,420195
2016-11-18,49192,49256,47911,48039,157845
2016-11-21,48359,48359,46822,46886,235290
2016-11-22,46886,47078,44900,46694,305820
2016-11-23,46950,46950,45797,46758,92820
2016-11-24,46758,46758,46438,46566,78495
2016-11-25,46566,47719,46438,47270,118905
2016-11-28,47398,47975,47398,47654,110430
2016-11-29,47719,48551,47654,48039,191100
2016-11-30,48551,48551,47719,47719,105255
2016-12-01,47719,47847,46117,46758,99345
2016-12-02,47078,47078,45797,46117,197415
2016-12-05,46117,46117,44836,44836,154320
2016-12-06,44836,44836,43235,43619,218520
2016-12-07,43619,44516,43491,44196,155865
2016-12-08,44836,44836,43876,44196,89205
2016-12-09,44516,44516,43940,44068,55995
2016-12-12,44196,44260,42915,43555,162825
2016-12-13,43876,43876,43427,43683,142125
2016-12-14,43940,44196,43555,43555,118890
2016-12-15,43811,44324,43427,44260,188280
2016-12-16,44516,44516,43683,44196,28230
2016-12-19,44196,44260,43876,43876,121245
2016-12-20,44132,44196,43555,43811,124575
2016-12-21,43555,46758,43427,46758,744105
2016-12-22,45797,46245,45477,46117,234930
2016-12-23,45605,45605,45156,45156,62925
2016-12-26,44836,44836,43876,43940,202290
2016-12-27,43747,44836,43683,43940,100365
2016-12-28,43811,44644,43811,44196,74850
2016-12-29,44388,44516,44068,44388,121305
2016-12-30,44196,44388,43876,44196,190290
2017-01-03,44196,44516,44068,44324,134910
2017-01-04,44772,44772,44196,44580,208080
2017-01-05,45165,45230,44710,44905,117780
2017-01-06,44775,45815,44775,45685,176295
2017-01-09,45815,45815,45165,45490,58635
2017-01-10,45490,45490,44190,45230,120810
2017-01-11,44840,44905,42890,43475,490035
2017-01-12,42371,44775,42371,44775,246660
2017-01-13,44840,45490,44840,44840,328515
2017-01-16,44840,45815,44515,44905,177975
2017-01-17,44840,45035,44515,44905,49530
2017-01-18,44905,45035,44710,44775,111525
2017-01-19,44775,44905,44450,44775,97530
2017-01-20,44840,44840,44255,44320,84405
2017-01-23,44645,45035,44385,44775,156045
2017-01-24,42566,44190,42436,42566,367725
2017-01-25,42566,43150,42371,42890,87570
2017-02-02,42890,44190,42890,44125,139905
2017-02-03,44125,44515,43670,44385,78210
2017-02-06,44515,44515,44190,44385,50970
2017-02-07,44190,44450,43865,44190,80235
2017-02-08,44320,44385,43930,44190,119745
2017-02-09,44385,44385,44125,44255,66165
2017-02-10,44060,44060,43540,43930,111105
2017-02-13,43865,43930,43605,43865,29640
2017-02-14,43865,43865,43475,43540,24000
2017-02-15,43670,43670,43085,43540,60210
2017-02-16,43540,43540,43150,43280,42630
2017-02-17,43085,43345,42890,43215,43110
2017-02-20,43215,43345,43085,43215,67710
2017-02-21,43215,43475,43085,43345,67425
2017-02-22,43215,43540,43085,43475,45105
2017-02-23,43865,43865,43540,43540,40500
2017-02-24,43540,44775,43540,44775,251175
2017-02-27,44840,45425,44775,45425,136020
2017-02-28,45360,45425,45035,45360,72825
2017-03-01,45230,45425,45100,45100,97215
2017-03-02,45165,45425,45100,45100,95160
2017-03-03,45100,45100,44905,44905,53145
2017-03-06,45165,45165,44190,44710,86700
2017-03-07,44775,44840,44515,44580,70650
2017-03-08,44710,44840,44645,44775,61410
2017-03-09,44645,45035,44645,44775,120990
2017-03-10,44775,45100,44515,44775,15630
2017-03-13,44775,44775,44515,44775,23085
2017-03-14,44710,44775,43670,44580,57705
2017-03-15,44515,45035,44515,44840,53085
2017-03-16,44840,45945,44840,45815,71565
2017-03-17,45555,45880,45490,45555,65190
2017-03-20,45685,46400,45555,46270,282465
2017-03-21,46725,47569,46335,47180,266970
2017-03-22,47439,48284,47374,47439,208095
2017-03-23,47439,48024,47050,47050,167745
2017-03-24,47114,48674,47050,48154,282435
2017-03-27,48479,49129,48089,49064,252795
2017-03-28,49389,49389,48414,48804,161295
2017-03-29,48739,49064,48414,48674,88545
2017-03-30,48804,49584,48219,48219,241680
2017-03-31,48219,48739,47569,48739,217620
2017-04-03,48869,50949,48869,50949,381675
2017-04-04,51144,51923,50494,50494,150435
2017-04-05,50689,50949,49649,49974,185775
2017-04-07,50039,50039,48739,49259,188205
2017-04-10,49064,49714,48739,49519,121200
2017-04-11,49714,50494,49129,50364,177195
2017-04-12,50364,51664,48739,48739,214140
2017-04-13,48739,49714,48414,49064,145395
2017-04-14,49064,49714,49064,49454,54240
2017-04-17,49064,50234,49064,49909,147795
2017-04-18,49909,50689,49584,49584,98895
2017-04-19,49584,50234,49389,49714,100410
2017-04-20,49714,50559,49584,50559,150030
2017-04-21,50689,51598,50364,51274,436875
2017-04-24,51339,51728,50689,51079,226710
2017-04-25,51079,51079,49909,50364,69150
2017-04-26,50494,50689,50104,50559,143190
2017-04-27,50689,50689,49649,49844,291885
2017-04-28,49844,49974,49259,49259,210315
2017-05-03,49259,49844,49064,49519,134520
2017-05-04,49974,49974,49389,49974,99630
2017-05-05,49974,49974,49454,49974,34515
2017-05-08,49909,49909,48479,48479,121605
2017-05-09,48479,48869,48349,48414,169365
2017-05-10,48414,48609,48349,48479,70365
2017-05-11,48479,48479,47894,47894,155535
2017-05-12,47829,48089,47569,47894,92205
2017-05-15,47894,49324,47829,49129,83265
2017-05-16,49389,49714,48479,48739,34830
2017-05-17,49324,49324,48739,49259,45330
2017-05-18,49129,49259,48089,48154,134460
2017-05-19,48154,48414,48024,48154,95595
2017-05-22,48544,48544,48089,48089,27930
2017-05-23,48089,48414,48024,48349,59490
2017-05-24,48609,49519,48414,49389,118920
2017-05-25,49584,49974,49129,49974,110370
2017-05-26,50039,50689,49519,49974,133755
2017-05-29,49974,50624,49974,50364,168345
2017-05-30,50884,50884,49064,49649,117000
2017-05-31,49714,49714,48414,48609,63525
2017-06-01,48609,49064,48414,48999,69705
2017-06-02,50364,52378,49909,52378,842955
2017-06-05,54913,54913,53288,53678,530325
2017-06-06,53678,54588,52833,54588,373170
2017-06-07,54263,56992,53938,56732,663720
2017-06-08,56537,57122,55888,55888,171480
2017-06-09,55888,56862,55888,56212,234720
2017-06-12,56342,58162,56212,57837,472680
2017-06-13,57447,57707,56862,57122,310965
2017-06-14,57122,59462,56537,59137,391200
2017-06-15,58552,60436,58487,60372,676470
2017-06-16,60372,62061,59787,61606,368715
2017-06-19,62646,63296,59007,61736,517455
2017-06-20,44804,45806,44804,45424,448860
2017-06-21,45424,45567,43897,43897,397860
2017-06-22,43468,43754,42943,42991,491340
2017-06-23,42943,44327,42848,43802,273820
