Date,Open,High,Low,Close,Volume,Currency
2016-06-24,14669.0,14669.0,13754.4,14387.6,5916737,VND
2016-06-27,14387.6,14563.5,14141.4,14493.2,1356495,VND
2016-06-28,14493.2,14563.5,14422.8,14493.2,758174,VND
2016-06-29,14458.0,14950.5,14458.0,14774.6,2887180,VND
2016-06-30,14950.5,14985.6,14704.2,14704.2,1546108,VND
2016-07-01,14774.6,14880.1,14704.2,14739.4,1336986,VND
2016-07-04,14774.6,15020.8,14774.6,14950.5,1994525,VND
2016-07-05,14950.5,15020.8,14844.9,14844.9,1826290,VND
2016-07-06,14809.8,14950.5,14739.4,14880.1,1389925,VND
2016-07-07,15020.8,15443.0,14915.3,15231.9,3677445,VND
2016-07-08,15267.1,15618.8,15267.1,15337.4,3682201,VND
2016-07-11,15372.6,15478.1,14985.6,14985.6,2390742,VND
2016-07-12,14985.6,15126.4,14774.6,14985.6,1719005,VND
2016-07-13,14985.6,15231.9,14985.6,15091.2,1734035,VND
2016-07-14,15126.4,15443.0,15091.2,15126.4,4340986,VND
2016-07-15,15091.2,15196.7,14985.6,14985.6,1685806,VND
2016-07-18,14950.5,15020.8,14844.9,14985.6,1335347,VND
2016-07-19,15020.8,15020.8,14669.0,14739.4,2651786,VND
2016-07-20,14739.4,14809.8,14633.9,14633.9,1327636,VND
2016-07-21,14669.0,14774.6,14598.7,14633.9,1034571,VND
2016-07-22,14598.7,14598.7,14387.6,14528.3,2212950,VND
2016-07-25,14528.3,14563.5,14458.0,14458.0,867791,VND
2016-07-26,14458.0,14493.2,14352.5,14387.6,1083977,VND
2016-07-27,14528.3,14669.0,14493.2,14528.3,1280216,VND
2016-07-28,14528.3,14669.0,14493.2,14528.3,1183620,VND
2016-07-29,14528.3,14563.5,14422.8,14422.8,557618,VND
2016-08-01,14422.8,14528.3,14352.5,14458.0,969027,VND
2016-08-02,14458.0,14458.0,14246.9,14282.1,1862260,VND
2016-08-03,14282.1,14352.5,14211.7,14246.9,1079129,VND
2016-08-04,14246.9,14352.5,14211.7,14211.7,785578,VND
2016-08-05,14211.7,14317.3,14141.4,14246.9,1065992,VND
2016-08-08,14317.3,14422.8,14282.1,14282.1,634174,VND
2016-08-09,14352.5,14387.6,14282.1,14387.6,625725,VND
2016-08-10,14317.3,14458.0,14317.3,14458.0,546606,VND
