Date,Open,High,Low,Close,Volume
2018-05-31,50949,51253,49357,49964,5094928
2018-06-01,50040,50798,49661,50798,2685776
2018-06-04,51404,51404,49130,49130,2558903
2018-06-05,48827,48902,46249,46249,6264931
2018-06-06,46400,48523,46021,48523,3823305
2018-06-07,48902,49130,45187,45187,3670746
2018-06-08,44732,46021,43974,45491,5680714
2018-06-11,45491,46476,43974,44126,5958551
2018-06-12,44126,45642,44050,45491,3751568
2018-06-13,45946,46249,43823,44126,3651951
2018-06-14,44126,45263,43140,45187,4404612
2018-06-15,45642,46021,44657,44732,4126903
2018-06-18,45339,47083,44960,47083,4480305
2018-06-19,46476,47159,46249,46249,3760577
2018-06-20,46021,46249,45112,45112,3556825
2018-06-21,45415,45642,42155,42837,5657759
2018-06-22,42837,43974,41321,43898,5045764
2018-06-25,44126,44353,43140,44202,1942302
2018-06-26,44202,45339,44126,44505,3188610
2018-06-27,44353,44657,43216,43216,3022793
2018-06-28,43216,43519,42610,43064,2653800
2018-06-29,43140,43292,41548,42837,3110697
2018-07-02,42837,43519,42230,42230,2342251
2018-07-03,41624,42079,39425,40487,4128179
2018-07-04,40183,41321,39425,41321,2609829
2018-07-05,41321,41548,40183,40411,1674342
2018-07-06,40487,40714,37909,37909,3468947
2018-07-09,37151,37606,35483,35483,5843277
2018-07-10,36013,37909,35483,37909,3330807
2018-07-11,38667,40032,38288,39425,5656445
2018-07-12,39046,41321,38970,41017,4767647
2018-07-13,41017,43595,40866,43216,7567510
2018-07-16,42837,45187,42458,44960,4896498
2018-07-17,44429,45187,43747,44429,4507573
2018-07-18,44050,45263,43671,44808,2785840
2018-07-19,44732,44960,44278,44505,3239228
2018-07-20,44202,45794,44202,45263,3437136
2018-07-23,45036,45718,44353,44732,3130220
2018-07-24,44353,44732,42837,43974,3859262
2018-07-25,43671,45415,43671,45415,2621989
2018-07-26,45415,45415,43974,44050,3591098
2018-07-27,43595,44732,43519,44732,3263587
2018-07-30,44657,44732,42458,42837,3141334
2018-07-31,41321,42837,40942,42837,6570329
2018-08-01,43216,44505,42610,44050,3531254
2018-08-02,43974,44126,42761,43216,2089986
2018-08-03,42534,44505,42079,44505,3227808
2018-08-06,45491,45642,44657,45036,3082319
2018-08-07,44353,45036,43974,44960,1718045
2018-08-08,44732,45870,43974,43974,3320497
2018-08-09,43216,44505,43216,43898,2698319
2018-08-10,43898,44505,43064,43974,1836828
2018-08-13,43595,44278,42003,44050,3632032
2018-08-14,44202,44202,42458,42458,4281300
2018-08-15,42610,42837,41472,42155,3129365
2018-08-16,42003,42155,39425,39425,3656851
2018-08-17,38743,42003,38288,41700,4393843
2018-08-20,41700,42761,40942,40942,1830129
2018-08-21,42079,42079,40259,40259,1735985
2018-08-22,39349,39804,37985,38819,4226355
2018-08-23,38819,40638,38288,39728,1815608
2018-08-24,40411,41624,39425,41548,2181207
2018-08-27,41700,42079,41169,41624,1661518
2018-08-28,40942,42306,40942,42306,2034939
2018-08-29,42306,43595,42306,43595,3156327
2018-08-30,43747,43823,42989,43064,2174304
2018-08-31,42837,43368,41776,43064,2813453
2018-09-04,43064,44278,42837,42913,3340875
2018-09-05,43216,43519,42458,43216,2147840
2018-09-06,43444,43519,41927,41927,1605081
2018-09-07,42003,42989,41321,42989,2689668
2018-09-10,42989,43444,42610,42837,1249561
2018-09-11,43216,43519,42837,43444,1644496
2018-09-12,43292,44960,43064,44353,4387118
2018-09-13,44808,44884,44278,44429,2427003
2018-09-14,44126,44732,43747,44732,2367414
2018-09-17,45112,45263,44050,44353,2258814
2018-09-18,44126,45187,44126,44732,2274355
2018-09-19,44581,46931,44429,46628,7003442
2018-09-20,46704,47310,46249,47083,2798919
2018-09-21,47083,47538,46476,46476,3201242
2018-09-24,46249,48144,46249,48144,4912129
2018-09-25,47765,48372,47159,48372,3058917
2018-09-26,48372,48372,47538,47614,1626645
2018-09-27,47917,48068,45870,45946,4131739
2018-09-28,45491,46249,44657,45946,4371985
2018-10-01,46325,47689,46097,47007,3460219
2018-10-02,47007,47386,46552,46552,2043859
2018-10-03,46249,47538,46249,47538,2200603
2018-10-04,47614,47765,46931,46931,1902082
2018-10-05,47007,47614,46704,47462,1660421
2018-10-08,47462,47462,46855,47007,2270489
2018-10-09,47386,48144,47310,47841,2304329
2018-10-10,48144,48751,47689,48523,3302697
2018-10-11,48447,48599,47841,47841,1426479
2018-10-12,47841,48675,47310,48372,1705183
2018-10-15,48372,48523,47007,47386,2487435
2018-10-16,47386,47462,46173,46249,2616158
2018-10-17,46249,46855,45718,45946,2253646
2018-10-18,45946,46249,45642,45718,1016270
2018-10-19,45566,47159,45566,47007,2035896
2018-10-22,47007,47462,46325,47007,1921095
2018-10-23,46628,47841,46628,47765,1969557
2018-10-24,47917,48220,47386,47462,2028981
2018-10-25,47614,48068,47462,47689,1365065
2018-10-26,47917,48827,47917,48523,3069980
2018-10-29,48523,48523,47689,47689,1285557
2018-10-30,47386,47993,47234,47993,1374393
2018-10-31,48296,48296,47841,47993,1371700
2018-11-01,47993,48978,47993,48827,2181820
2018-11-02,49281,49812,48523,48978,6238582
2018-11-05,49661,49812,49130,49433,1397182
2018-11-06,49130,49433,48827,48827,1316220
2018-11-07,48827,49206,48372,48372,2679166
2018-11-08,48372,48675,47917,48068,2706447
2018-11-09,48296,48523,47765,47765,2685215
2018-11-12,48144,48144,47386,47386,2466011
2018-11-13,47386,47841,47159,47765,2042927
2018-11-14,48068,48144,47386,47765,1320558
2018-11-15,47765,48523,47614,47765,2933205
2018-11-16,47995,48379,47688,47688,2084372
2018-11-19,47612,47919,47304,47304,1719742
2018-11-20,47458,47765,47304,47381,1107645
2018-11-21,47535,47612,47151,47381,996977
2018-11-22,46076,46076,44156,44309,4380304
2018-11-23,43772,45999,43772,45999,2891786
2018-11-26,45922,46076,45077,45385,1474584
2018-11-27,45308,45769,45231,45461,1377697
2018-11-28,45999,45999,45385,45461,1650493
2018-11-29,45308,45461,44463,44540,2048082
2018-11-30,43772,45001,43772,44309,1517049
2018-12-03,44924,45154,43849,43849,1537185
2018-12-04,43772,44002,41468,42850,2994530
2018-12-05,42850,43465,42620,42620,1881156
2018-12-06,40700,42390,40700,42082,2225497
2018-12-07,42927,42927,41084,41084,1557180
2018-12-10,40931,41391,40316,40623,1609968
2018-12-11,40623,41698,40470,41622,1706561
2018-12-12,41622,43542,41622,42697,1589577
2018-12-13,42850,42927,42082,42236,1558251
2018-12-14,42236,43234,42236,43158,1450697
2018-12-17,42927,43388,42697,43388,1113974
2018-12-18,43772,43772,42850,42850,851998
2018-12-19,42850,43158,42313,42620,852738
2018-12-20,43542,43618,42774,42774,734619
2018-12-21,42390,42774,41698,41698,1130141
2018-12-24,41468,41929,40547,41929,877863
2018-12-25,40931,41698,40931,41161,767540
2018-12-26,41161,41698,40547,40854,676433
2018-12-27,40854,41161,40316,41007,1057179
2018-12-28,41468,41545,40777,40854,1566724
2019-01-02,41468,41468,40854,41468,1461658
2019-01-03,41468,41468,40931,41315,1386042
2019-01-04,40777,42543,40700,42543,2434608
2019-01-07,42236,42620,42006,42082,1226389
2019-01-08,42006,42236,41468,41468,1144636
2019-01-09,41468,41698,41238,41468,859896
2019-01-10,41775,42006,40854,41007,1639533
2019-01-11,41007,42313,41007,42313,1893176
2019-01-14,42697,43311,42236,42236,3011718
2019-01-15,42159,43004,42082,42543,1825497
2019-01-16,43542,44540,43158,44540,2841308
2019-01-17,44386,44770,43849,44233,1744815
2019-01-18,43772,44693,43388,44386,2570949
2019-01-21,44079,44540,43542,43695,2881617
2019-01-22,44079,44309,43849,43925,1065958
2019-01-23,43925,44079,43465,43695,1340961
2019-01-24,43695,43925,43158,43618,1427908
2019-01-25,44002,44540,43618,44540,1871165
2019-01-28,44770,44847,44233,44233,1087025
2019-01-29,44156,44233,43388,43388,1123620
2019-01-30,43004,43311,42082,42082,2280774
2019-01-31,41545,42620,41545,42313,1862616
2019-02-01,42313,42543,41545,41775,1444151
