Date,Open,High,Low,Close,Volume
2015-05-27,26892,27242,26892,26950,1093940
2015-05-28,27067,28002,27067,27769,2094350
2015-05-29,27827,28470,27827,28412,2903720
2015-06-01,28470,28470,27827,27827,729680
2015-06-02,27944,28002,27535,27769,759460
2015-06-03,27769,28295,27769,28119,1029190
2015-06-04,28178,28879,28119,28529,1844570
2015-06-05,28412,28646,28353,28412,1602730
2015-06-08,28412,28587,28295,28353,1012230
2015-06-09,28529,28529,28353,28412,1069320
2015-06-10,28529,28646,28353,28529,1000350
2015-06-11,28529,28646,28470,28529,492450
2015-06-12,28646,28646,28412,28412,414470
2015-06-15,26424,28470,26424,28119,2478130
2015-06-16,28119,28529,28061,28529,1304050
2015-06-17,28529,28529,28061,28119,318230
2015-06-18,28119,28412,28061,28412,449710
2015-06-19,28412,28412,28236,28236,121430
2015-06-22,28353,28353,28061,28061,529690
2015-06-23,28178,28178,27476,27769,1058000
2015-06-24,27769,27827,27359,27769,949880
2015-06-25,27769,27827,27652,27710,142200
2015-06-26,27710,27886,27476,27476,783660
2015-06-29,27476,27535,27067,27067,2832250
2015-06-30,27242,27301,27067,27242,944760
2015-07-01,27242,27827,27242,27535,1055670
2015-07-02,27476,27769,27418,27593,662540
2015-07-03,27535,28353,27418,28353,1810270
2015-07-06,28236,28236,27886,28178,571650
2015-07-07,28119,28529,28119,28236,1067150
2015-07-08,28353,28470,28119,28119,1218210
2015-07-09,28061,28178,27944,27944,1067080
2015-07-10,27944,28119,27769,27769,1058030
2015-07-13,28119,28762,28061,28470,2118190
2015-07-14,28529,28587,28119,28119,715170
2015-07-15,28061,28412,28061,28236,1310720
2015-07-16,28353,28646,28353,28529,2185400
2015-07-17,28529,28762,28412,28529,1070850
2015-07-20,28529,28938,28529,28646,1014770
2015-07-21,28762,28821,28587,28646,763290
2015-07-22,28646,28704,28353,28412,815270
2015-07-23,28412,28762,28412,28762,903230
2015-07-24,28879,30399,28821,30399,5127530
2015-07-27,30399,30399,29230,29522,1453980
2015-07-28,29522,29815,29172,29522,1265390
2015-07-29,29522,30107,29113,29522,1117130
2015-07-30,29522,29815,29522,29522,1169440
2015-07-31,29815,30107,29522,29815,1615110
2015-08-03,30107,30399,29815,30107,911270
2015-08-04,30107,30692,29815,30399,2320280
2015-08-05,30107,30692,30107,30692,1334500
2015-08-06,30399,30984,30107,30692,1863490
2015-08-07,30399,30692,30399,30399,1756410
2015-08-10,30962,31844,30962,31403,2399450
2015-08-11,31256,32506,31256,31991,4663640
2015-08-12,32359,32359,31623,31918,1084960
2015-08-13,32138,32285,31991,32285,1519870
2015-08-14,32653,33021,32580,32800,2634840
2015-08-17,33094,33168,32359,32800,2179370
2015-08-18,32653,32874,32432,32506,2801260
2015-08-19,32432,32432,31771,31991,2241890
2015-08-20,31623,32800,31476,32359,2263780
2015-08-21,32580,32800,32359,32580,1814570
2015-08-24,32580,32580,32359,32432,1712600
2015-08-25,32138,32432,32138,32359,873420
2015-08-26,32506,32506,31844,31991,1975690
2015-08-27,31623,31844,31403,31476,1279160
2015-08-28,31623,31697,31256,31403,1047090
2015-08-31,31403,31844,31182,31329,1038110
2015-09-01,31256,31844,31256,31623,782410
2015-09-03,31844,32800,31697,32727,2690740
2015-09-04,32727,33094,32432,32432,1490390
2015-09-07,32653,32653,32065,32212,1022530
2015-09-08,32359,32580,32138,32359,2223090
2015-09-09,32506,33021,32212,32212,3475600
2015-09-10,32359,32432,31697,31771,1601650
2015-09-11,31771,31918,31550,31697,991800
2015-09-14,31550,31918,31403,31697,1858980
2015-09-15,31403,31918,31329,31697,2462140
2015-09-16,31476,31697,31403,31623,966510
2015-09-17,31697,31771,31476,31771,672680
2015-09-18,31623,31771,31403,31623,666510
2015-09-21,31697,31697,31550,31623,433610
2015-09-22,31623,31991,31623,31991,1091720
2015-09-23,31991,32138,31918,32138,1536860
2015-09-24,32138,32138,31697,31697,1101830
2015-09-25,31697,31697,31182,31256,1170040
2015-09-28,31256,31550,30594,30741,1113720
2015-09-29,30741,31109,30153,30153,1031560
2015-09-30,30153,30667,30153,30667,766740
2015-10-01,30667,30667,29858,30006,1071060
2015-10-02,30006,30300,29491,29858,1553450
2015-10-05,29638,29858,28535,29491,4229320
2015-10-06,29491,29491,27873,29491,3715390
2015-10-07,28535,29491,28535,29491,3088360
2015-10-08,29197,29711,29123,29564,2233890
2015-10-09,29711,30373,29491,30153,1943580
2015-10-12,30447,30667,30006,30667,1265260
2015-10-13,30667,30667,30006,30520,1205000
2015-10-14,30520,30667,29932,30520,1204070
2015-10-15,30520,30520,30153,30226,1675220
2015-10-16,30300,30520,30226,30520,974370
2015-10-19,30300,30815,30226,30594,589790
2015-10-20,30594,30815,30520,30667,789310
2015-10-21,30888,30888,30667,30815,699390
2015-10-22,30667,31256,30300,31182,1491750
2015-10-23,31182,31182,30815,30888,605820
2015-10-26,30888,30888,30594,30741,648800
2015-10-27,30741,30741,30447,30667,1308940
2015-10-28,30667,30815,30594,30667,1760970
2015-10-29,30888,31035,30667,30888,618470
